code	name	lat	lng
TR-34	İstanbul	41.005	28.977
TR-35	İzmir	38.419	27.129
TR-36	Kars	40.593	43.078
TR-38	Kayseri	38.731	35.479
TR-39	Kırklareli	41.733	27.217
TR-42	Konya	37.878	32.482
TR-44	Malatya	38.355	38.309
TR-47	Mardin	37.312	40.735
TR-50	Nevşehir	38.624	34.724
TR-51	Niğde	37.967	34.683
TR-52	Ordu	40.983	37.883
TR-53	Rize	41.02	40.523
TR-55	Samsun	41.293	36.331
TR-58	Sivas	39.748	37.018
TR-63	Şanlıurfa	37.15	38.8
TR-59	Tekirdağ	40.983	27.517
TR-61	Trabzon	41	39.733
TR-62	Tunceli	39.108	39.54
TW-CYI	Chiay City	23.48	120.447
TW-KHH	Kaohsiung City	23.011	120.666
TW-TPE	Taipei City	25.091	121.56
UA-71	Cherkas'ka Oblast'	49.856	24.059
UA-74	Chernihivs'ka Oblast'	51.356	31.938
UA-77	Chernivets'ka Oblast'	49.536	25.6
UA-12	Dnipropetrovs'ka Oblast'	48.612	35.253
UA-26	Ivano-Frankivs'ka Oblast'	48.887	24.691
UA-63	Kharkivs'ka Oblast'	49.943	36.247
UA-65	Khersons'ka Oblast'	46.955	32.054
UA-68	Khmel'nyts'ka Oblast'	48.935	24.726
UA-35	Kirovohrads'ka Oblast'	48.48	32.14
UA-32	Kyïvs'ka Oblast'	50.439	30.507
UA-09	Luhans'ka Oblast'	48.593	39.298
UA-46	L'vivs'ka Oblast'	49.844	24.073
UA-48	Mykolaïvs'ka Oblast'	46.96	32.007
UA-51	Odes'ka Oblast'	46.537	30.723
UA-53	Poltavs'ka Oblast'	49.11	33.453
UA-56	Rivnens'ka Oblast'	50.744	25.378
UA-59	Sums 'ka Oblast'	50.903	34.843
UA-61	Ternopil's'ka Oblast'	46.845	32.021
UA-05	Vinnyts'ka Oblast'	48.932	24.732
UA-07	Volyns'ka Oblast'	49.552	25.558
UA-21	Zakarpats'ka Oblast'	48.626	22.279
UA-23	Zaporiz'ka Oblast'	47.813	35.047
UA-18	Zhytomyrs'ka Oblast'	50.263	28.688
UA-43	Respublika Krym	45.387	36.578
UA-30	Kyïvs'ka mis'ka rada	50.446	30.52
UG-313	Yumbe	3.465	31.245
US-AL	Alabama	32.318	-86.902
US-AK	Alaska	63.589	-154.493
US-AZ	Arizona	34.049	-111.094
US-AR	Arkansas	34.235	-91.289
US-CA	California	34.127	-117.341
US-CO	Colorado	39.55	-105.782
US-CT	Connecticut	41.603	-73.088
US-DE	Delaware	38.911	-75.528
US-FL	Florida	27.665	-81.516
US-GA	Georgia	32.157	-82.907
US-IL	Illinois	40.633	-89.399
US-IN	Indiana	40.551	-85.602
US-IA	Iowa	41.662	-92.067
US-KY	Kentucky	37.839	-84.27
US-LA	Louisiana	31.245	-92.145
US-ME	Maine	46.82	-67.924
US-MD	Maryland	39.046	-76.641
US-MA	Massachusetts	42.407	-71.382
US-MI	Michigan	42.329	-83.121
US-MS	Mississippi	32.355	-89.399
US-MO	Missouri	37.964	-91.832
US-NE	Nebraska	41.493	-99.902
US-NH	New Hampshire	43.194	-71.572
US-NJ	New Jersey	40.058	-74.406
US-NM	New Mexico	34.973	-105.032
US-NY	New York	40.714	-74.006
US-NC	North Carolina	35.76	-79.019
US-OH	Ohio	38.626	-82.237
US-OK	Oklahoma	35.468	-97.516
US-OR	Oregon	43.804	-120.554
US-PA	Pennsylvania	41.203	-77.195
US-RI	Rhode Island	41.58	-71.477
US-SC	South Carolina	33.836	-81.164
US-SD	South Dakota	43.97	-99.902
US-TN	Tennessee	35.517	-86.58
US-TX	Texas	31.969	-99.902
US-VT	Vermont	44.559	-72.578
US-VA	Virginia	37.432	-78.657
US-WA	Washington	47.751	-120.74
US-WV	West Virginia	38.598	-80.455
US-WI	Wisconsin	43.784	-88.788
US-WY	Wyoming	41.477	-105.637
US-PR	Puerto Rico	31.75	-106.488
UZ-BU	Buxoro	39.766	64.422
UZ-TO	Toshkent	41.267	69.217
UZ-QR	Qoraqalpog'iston Respublikasi	43.046	59.249
VC-03	Saint David	53.38	-6.219
VE-A	Distrito Federal	10.5	-66.951
VE-J	Guárico	8.749	-66.237
VE-T	Trujillo	9.367	-70.433
YE-AB	Abyān	13.717	45.4
YE-DA	Aḑ Ḑāli‘	13.853	44.703
YE-BA	Al Bayḑā'	13.986	45.573
YE-HU	Al Ḩudaydah	14.803	42.982
YE-MR	Al Mahrah	16.77	51.836
YE-MW	Al Maḩwīt	15.402	43.56
YE-AM	'Amrān	16.114	43.947
YE-DH	Dhamār	14.543	44.402
YE-HD	Ḩaḑramawt	16.972	49.399
YE-HJ	Ḩajjah	15.693	43.603
YE-IB	Ibb	13.967	44.167
YE-LA	Laḩij	13.7	45.067
YE-MA	Ma'rib	15.47	45.323
YE-RA	Raymah	14.58	43.634
YE-SU	Socotra	12.497	53.84
YE-SN	Şan'ā'	15.352	44.207
YE-SH	Shabwah	15.369	47.027
YE-TA	Tā'izz	13.686	44.134
ZA-GT	Gauteng	-26.102	28.079
ZA-MP	Mpumalanga	-25.565	30.528
ZA-NC	Northern Cape	-29.047	21.857
