code	name	lat	lng
CZ-PR	Praha, hlavní město	50.054	14.527
CZ-ST	Středočeský kraj	50.445	14.781
CZ-US	Ústecký kraj	50.533	13.629
CZ-VY	Vysočina	49.449	15.641
CZ-ZL	Zlínský kraj	49.216	17.772
DE-BW	Baden-Württemberg	48.662	9.35
DE-BY	Bayern	47.795	12.533
DE-HB	Bremen	53.075	8.807
DE-HH	Hamburg	53.554	9.992
DE-HE	Hessen	51.05	9.285
DE-NI	Niedersachsen	52.637	9.845
DE-NW	Nordrhein-Westfalen	51.433	7.662
DE-RP	Rheinland-Pfalz	50.118	7.309
DE-SL	Saarland	49.396	7.023
DE-SH	Schleswig-Holstein	54.219	9.696
DE-BE	Berlin	52.523	13.411
DE-BB	Brandenburg	52.408	12.562
DE-MV	Mecklenburg-Vorpommern	53.613	12.43
DE-SN	Sachsen	51.105	13.202
DE-ST	Sachsen-Anhalt	51.802	11.053
DE-TH	Thüringen	51.011	10.845
DK-81	Nordjylland	56.831	9.493
DK-82	Midtjylland	56.165	10.121
DK-83	Syddanmark	55.705	9.533
DK-84	Hovedstaden	56.088	12.66
DK-85	Sjælland	55.463	11.721
DO-13	La Vega	19.224	-70.529
DZ-01	Adrar	27.867	-0.283
DZ-16	Alger	36.753	3.042
DZ-06	Béjaïa	36.75	5.067
DZ-34	Bordj Bou Arréridj	36.071	4.759
DZ-35	Boumerdès	36.767	3.477
DZ-25	Constantine	36.35	6.6
DZ-17	Djelfa	34.667	3.25
DZ-39	El Oued	33.368	6.867
DZ-47	Ghardaïa	32.489	3.679
DZ-18	Jijel	36.8	5.767
DZ-40	Khenchela	35.438	7.147
DZ-29	Mascara	35.4	0.14
DZ-26	Médéa	36.267	2.75
DZ-28	Msila	35.702	4.547
DZ-30	Ouargla	31.963	5.342
DZ-19	Sétif	36.189	5.414
DZ-22	Sidi Bel Abbès	35.2	-0.633
DZ-21	Skikda	36.867	6.9
DZ-12	Tébessa	35.407	8.121
DZ-15	Tizi Ouzou	36.717	4.05
DZ-13	Tlemcen	34.883	-1.314
EC-B	Bolívar	-1.57	-79.11
EC-P	Pichincha	-0.147	-78.838
EE-37	Harjumaa	59.304	24.44
EE-39	Hiiumaa	58.924	22.592
EE-44	Ida-Virumaa	59.347	28.169
EE-49	Jõgevamaa	58.709	25.747
EE-51	Järvamaa	58.889	25.557
EE-57	Läänemaa	58.949	23.541
EE-59	Lääne-Virumaa	59.345	26.833
EE-67	Pärnumaa	58.404	24.529
EE-70	Raplamaa	58.951	24.681
EE-74	Saaremaa	58.485	22.614
EE-78	Tartumaa	58.225	26.42
EE-82	Valgamaa	57.879	26.196
EE-84	Viljandimaa	58.792	25.422
EE-86	Võrumaa	57.769	26.068
EG-DK	Ad Daqahlīyah	31.084	31.485
EG-BA	Al Bahr al Ahmar	26.083	33.833
EG-FYM	Al Fayyūm	29.305	30.833
EG-GZ	Al Jīzah	29.962	30.942
EG-MNF	Al Minūfīyah	30.464	30.938
EG-C	Al Qāhirah	30.065	31.25
EG-KB	Al Qalyūbīyah	30.269	31.268
EG-SHR	Ash Sharqīyah	30.705	31.681
EG-SUZ	As Suways	29.983	32.524
EG-ASN	Aswān	24.082	32.911
EG-AST	Asyūt	27.178	31.18
EG-BNS	Banī Suwayf	29.076	31.097
EG-DT	Dumyāt	31.39	31.754
EG-JS	Janūb Sīnā'	28.736	33.902
EG-KN	Qinā	26.129	32.733
EG-SIN	Shamal Sīnā'	30.282	33.618
EG-SHG	Sūhāj	26.541	31.697
ER-DU	Debub	14.823	38.982
ER-DK	Debubawi Keyih Bahri [Debub-Keih-Bahri]	13.69	41.945
ER-MA	Maakel [Maekel]	15.333	38.929
ER-SK	Semenawi Keyih Bahri [Semien-Keih-Bahri]	15.707	39.307
ES-PM	Illes Balears	39.534	2.858
ES-C	A Coruña	43.371	-8.396
ES-VI	Álava	42.848	-2.684
ES-AB	Albacete	38.998	-1.86
ES-A	Alicante	38.345	-0.481
ES-AL	Almería	36.84	-2.468
ES-O	Asturias	43.25	-5.983
ES-AV	Ávila	40.656	-4.7
ES-BA	Badajoz	38.879	-6.97
ES-B	Barcelona	41.388	2.17
ES-BU	Burgos	42.341	-3.7
ES-CC	Cáceres	39.476	-6.371
ES-S	Cantabria	43.183	-3.988
ES-CS	Castellón	39.986	-0.036
ES-CR	Ciudad Real	38.986	-3.927
ES-CO	Córdoba	37.885	-4.779
ES-GI	Girona	41.982	2.824
ES-GR	Granada	37.176	-3.598
ES-GU	Guadalajara	40.63	-3.166
ES-H	Huelva	37.257	-6.95
ES-HU	Huesca	42.14	-0.409
ES-LO	La Rioja	42.287	-2.54
ES-GC	Las Palmas	28.125	-15.43
ES-LE	León	42.6	-5.572
ES-L	Lleida	41.614	0.626
ES-LU	Lugo	43.012	-7.556
ES-MA	Málaga	36.72	-4.42
ES-MU	Murcia	37.983	-1.13
ES-NA	Navarra / Nafarroa	42.695	-1.676
ES-OR	Ourense	42.34	-7.865
ES-PO	Pontevedra	42.434	-8.648
ES-SA	Salamanca	40.965	-5.663
ES-TF	Santa Cruz de Tenerife	28.47	-16.255
ES-SE	Sevilla	37.383	-5.996
ES-SO	Soria	41.764	-2.465
ES-T	Tarragona	41.119	1.245
ES-TO	Toledo	39.857	-4.024
ES-V	Valencia / València	39.47	-0.377
ES-VA	Valladolid	41.653	-4.728
ES-BI	Vizcayaa / Bizkaia	43.265	-2.917
ES-Z	Zaragoza	41.656	-0.877
ET-SN	YeDebub Bihēroch Bihēreseboch na Hizboch	6.931	36.692
FI-AL	Ahvenanmaan lääni	60.259	20.134
FI-ES	Etelä-Suomen lääni	60.71	25.687
